Sequence Position in training data,,Customer ID# in market test database,"Male=0, Female=1",total_expenditure ,"months_since_last_purchase, ","number_of_purchases, ",months_since_first_purchase ,,,
1296,user1296,10835,1,235,2,10,52,,,
1297,user1297,10844,0,72,8,4,20,,,
1298,user1298,10845,1,291,14,1,14,,,
1299,user1299,10848,1,173,10,1,10,,,
1300,user1300,10850,1,193,34,11,82,,,
1301,user1301,10869,0,273,2,4,12,,,
1302,user1302,10877,1,220,34,2,42,,,
1303,user1303,10891,1,306,12,2,18,,,
1304,user1304,10899,1,136,10,3,26,,,
1305,user1305,10909,1,375,8,9,38,,,
1306,user1306,10915,1,52,8,2,10,,,
1307,user1307,10918,0,338,6,8,54,,,
1308,user1308,10919,0,310,16,2,18,,,
1309,user1309,10928,1,95,32,2,40,,,
1310,user1310,10934,1,203,2,2,4,,,
1311,user1311,10935,1,152,12,2,18,,,
1312,user1312,10936,1,178,8,2,12,,,
1313,user1313,10950,0,270,4,2,6,,,
1314,user1314,10952,1,202,4,12,72,,,
1315,user1315,10955,0,293,10,1,10,,,
1316,user1316,10956,1,207,24,2,30,,,
1317,user1317,10957,1,263,12,2,20,,,
1318,user1318,10960,0,67,10,1,10,,,
1319,user1319,10963,1,295,10,1,10,,,
1320,user1320,10964,1,175,14,11,68,,,
1321,user1321,10978,1,294,10,3,22,,,
1322,user1322,10999,1,268,8,1,8,,,
1323,user1323,11007,1,39,30,1,30,,,
1324,user1324,11009,1,94,10,1,10,,,
1325,user1325,11010,0,216,2,9,46,,,
1326,user1326,11012,0,97,20,1,20,,,
1327,user1327,11045,1,24,14,1,14,,,
1328,user1328,11050,0,334,2,7,26,,,
1329,user1329,11055,1,329,2,2,6,,,
1330,user1330,11061,0,313,12,2,20,,,
1331,user1331,11064,1,240,16,1,16,,,
1332,user1332,11065,1,432,16,9,38,,,
1333,user1333,11076,0,54,16,1,16,,,
1334,user1334,11088,1,116,12,1,12,,,
1335,user1335,11097,1,305,30,1,30,,,
1336,user1336,11111,1,134,12,1,12,,,
1337,user1337,11113,1,101,16,2,22,,,
1338,user1338,11118,1,318,6,2,14,,,
1339,user1339,11124,1,347,20,9,60,,,
1340,user1340,11131,1,55,12,1,12,,,
1341,user1341,11133,1,71,2,2,4,,,
1342,user1342,11138,1,292,12,1,12,,,
1343,user1343,11150,1,37,28,2,32,,,
1344,user1344,11179,1,133,16,4,36,,,
1345,user1345,11186,1,152,4,1,4,,,
1346,user1346,11203,1,112,4,1,4,,,
1347,user1347,11216,1,179,16,3,34,,,
1348,user1348,11220,0,23,14,1,14,,,
1349,user1349,11234,0,337,10,10,66,,,
1350,user1350,11249,1,109,2,1,2,,,
1351,user1351,11274,1,21,14,1,14,,,
1352,user1352,11289,0,160,6,5,22,,,
1353,user1353,11294,1,116,20,5,46,,,
1354,user1354,11295,1,135,8,4,22,,,
1355,user1355,11311,1,182,10,4,34,,,
1356,user1356,11314,1,298,10,1,10,,,
1357,user1357,11315,0,316,26,8,72,,,
1358,user1358,11342,0,142,14,3,26,,,
1359,user1359,11343,1,121,8,1,8,,,
1360,user1360,11363,0,118,8,2,16,,,
1361,user1361,11370,1,293,8,2,12,,,
1362,user1362,11393,1,166,8,11,56,,,
1363,user1363,11396,1,269,10,5,32,,,
1364,user1364,11401,1,258,6,2,10,,,
1365,user1365,11406,0,397,10,9,50,,,
1366,user1366,11434,1,199,14,2,18,,,
1367,user1367,11439,0,56,14,1,14,,,
1368,user1368,11455,1,234,2,1,2,,,
1369,user1369,11456,1,185,14,8,54,,,
1370,user1370,11457,1,46,10,2,14,,,
1371,user1371,11461,1,41,2,2,10,,,
1372,user1372,11484,1,34,14,1,14,,,
1373,user1373,11486,1,193,14,2,18,,,
1374,user1374,11487,1,156,12,1,12,,,
1375,user1375,11491,1,216,16,2,18,,,
1376,user1376,11495,1,240,10,1,10,,,
1377,user1377,11499,1,107,22,1,22,,,
1378,user1378,11504,1,232,26,1,26,,,
1379,user1379,11520,1,199,22,5,50,,,
1380,user1380,11536,0,395,10,11,36,,,
1381,user1381,11548,0,201,22,2,28,,,
1382,user1382,11550,0,319,22,11,50,,,
1383,user1383,11551,1,81,4,2,10,,,
1384,user1384,11554,0,79,26,1,26,,,
1385,user1385,11558,1,281,2,2,8,,,
1386,user1386,11572,1,222,8,1,8,,,
1387,user1387,11584,1,73,14,1,14,,,
1388,user1388,11586,0,206,14,11,64,,,
1389,user1389,11588,1,215,12,1,12,,,
1390,user1390,11592,1,140,10,2,14,,,
1391,user1391,11608,0,182,12,2,18,,,
1392,user1392,11610,1,196,16,4,32,,,
1393,user1393,11617,1,99,14,4,32,,,
1394,user1394,11620,1,115,4,2,6,,,
1395,user1395,11622,1,83,16,1,16,,,
1396,user1396,11627,1,287,6,3,22,,,
1397,user1397,11635,1,156,14,6,32,,,
1398,user1398,11652,1,25,30,1,30,,,
1399,user1399,11654,1,60,2,2,10,,,
1400,user1400,11655,1,77,4,1,4,,,
1401,user1401,11682,1,275,14,3,20,,,
1402,user1402,11685,0,314,28,7,62,,,
1403,user1403,11697,1,289,12,12,60,,,
1404,user1404,11702,1,256,10,9,32,,,
1405,user1405,11712,1,140,6,1,6,,,
1406,user1406,11720,1,267,16,2,20,,,
1407,user1407,11726,0,265,2,2,10,,,
1408,user1408,11727,1,100,16,2,20,,,
1409,user1409,11730,0,125,14,2,16,,,
1410,user1410,11734,1,326,4,2,6,,,
1411,user1411,11740,1,197,6,1,6,,,
1412,user1412,11741,0,243,14,11,78,,,
1413,user1413,11750,1,343,10,11,58,,,
1414,user1414,11753,1,152,14,6,36,,,
1415,user1415,11788,1,235,18,8,50,,,
1416,user1416,11797,1,302,8,1,8,,,
1417,user1417,11811,0,281,16,11,40,,,
1418,user1418,11813,1,153,12,2,18,,,
1419,user1419,11815,1,178,10,2,14,,,
1420,user1420,11817,1,219,8,1,8,,,
1421,user1421,11826,0,39,4,1,4,,,
1422,user1422,11858,1,335,10,12,72,,,
1423,user1423,11865,1,370,14,12,68,,,
1424,user1424,11867,1,292,36,2,40,,,
1425,user1425,11870,0,267,8,10,60,,,
1426,user1426,11877,1,80,34,1,34,,,
1427,user1427,11878,0,246,10,6,22,,,
1428,user1428,11886,0,98,10,1,10,,,
1429,user1429,11888,1,65,14,1,14,,,
1430,user1430,11889,1,366,10,9,36,,,
1431,user1431,11896,1,429,14,11,74,,,
1432,user1432,11901,1,161,4,1,4,,,
1433,user1433,11923,1,121,16,6,36,,,
1434,user1434,11937,1,140,6,1,6,,,
1435,user1435,11941,0,257,22,1,22,,,
1436,user1436,11943,1,274,16,2,24,,,
1437,user1437,11960,1,43,2,2,4,,,
1438,user1438,11965,1,62,8,2,12,,,
1439,user1439,11967,0,165,14,2,16,,,
1440,user1440,11978,1,36,16,2,20,,,
1441,user1441,11980,1,319,10,10,70,,,
1442,user1442,11994,0,293,12,2,14,,,
1443,user1443,11996,1,163,28,2,32,,,
1444,user1444,12000,0,270,4,1,4,,,
1445,user1445,12006,1,132,34,5,62,,,
1446,user1446,12008,1,131,12,5,38,,,
1447,user1447,12011,1,274,20,7,52,,,
1448,user1448,12014,0,263,10,1,10,,,
1449,user1449,12018,1,204,14,12,60,,,
1450,user1450,12020,1,218,2,11,26,,,
1451,user1451,12026,0,102,16,1,16,,,
1452,user1452,12036,0,71,4,2,10,,,
1453,user1453,12042,1,152,16,2,22,,,
1454,user1454,12064,1,183,8,2,14,,,
1455,user1455,12065,1,88,16,2,22,,,
1456,user1456,12088,1,145,4,2,8,,,
1457,user1457,12092,0,59,14,2,22,,,
1458,user1458,12098,1,200,30,4,44,,,
1459,user1459,12106,1,199,12,1,12,,,
1460,user1460,12108,1,126,4,5,28,,,
1461,user1461,12121,1,232,30,1,30,,,
1462,user1462,12142,0,415,16,10,70,,,
1463,user1463,12149,0,267,10,9,34,,,
1464,user1464,12161,0,124,2,1,2,,,
1465,user1465,12166,1,254,12,3,26,,,
1466,user1466,12183,0,131,14,7,28,,,
1467,user1467,12184,0,324,14,2,22,,,
1468,user1468,12190,0,128,14,2,20,,,
1469,user1469,12192,1,300,4,8,44,,,
1470,user1470,12202,1,250,34,12,68,,,
1471,user1471,12205,0,215,10,1,10,,,
1472,user1472,12232,1,128,10,6,24,,,
1473,user1473,12244,0,403,10,9,46,,,
1474,user1474,12258,1,171,16,2,18,,,
1475,user1475,12262,0,214,2,2,8,,,
1476,user1476,12267,1,304,10,1,10,,,
1477,user1477,12271,0,160,4,3,10,,,
1478,user1478,12272,1,298,8,1,8,,,
1479,user1479,12298,1,224,10,6,36,,,
1480,user1480,12309,0,444,2,12,60,,,
1481,user1481,12320,1,65,14,1,14,,,
1482,user1482,12321,0,124,12,2,14,,,
1483,user1483,12338,1,280,14,2,22,,,
1484,user1484,12344,0,296,10,6,44,,,
1485,user1485,12348,0,192,8,2,16,,,
1486,user1486,12359,0,279,12,1,12,,,
1487,user1487,12361,1,192,14,1,14,,,
1488,user1488,12365,1,236,14,1,14,,,
1489,user1489,12366,1,270,16,4,36,,,
1490,user1490,12384,0,252,14,2,16,,,
1491,user1491,12388,0,225,30,1,30,,,
1492,user1492,12394,1,147,14,1,14,,,
1493,user1493,12400,1,387,30,12,80,,,
1494,user1494,12407,0,188,28,2,30,,,
1495,user1495,12424,1,23,10,1,10,,,
1496,user1496,12427,1,43,16,2,22,,,
1497,user1497,12428,0,194,10,6,22,,,
1498,user1498,12450,1,29,16,1,16,,,
1499,user1499,12452,0,285,16,2,22,,,
1500,user1500,12457,1,311,18,1,18,,,
1501,user1501,12478,1,269,10,1,10,,,
1502,user1502,12481,1,103,18,4,34,,,
1503,user1503,12503,1,230,20,2,24,,,
1504,user1504,12510,0,176,6,2,8,,,
1505,user1505,12529,1,125,6,5,20,,,
1506,user1506,12534,0,255,10,2,16,,,
1507,user1507,12547,0,67,8,1,8,,,
1508,user1508,12555,0,161,10,7,34,,,
1509,user1509,12559,1,356,12,9,62,,,
1510,user1510,12560,0,297,12,1,12,,,
1511,user1511,12562,1,177,2,1,2,,,
1512,user1512,12565,0,286,4,1,4,,,
1513,user1513,12568,1,214,22,8,56,,,
1514,user1514,12573,1,376,10,7,40,,,
1515,user1515,12581,1,192,12,1,12,,,
1516,user1516,12582,1,102,16,1,16,,,
1517,user1517,12583,1,201,14,2,20,,,
1518,user1518,12599,0,210,12,4,34,,,
1519,user1519,12603,1,291,4,2,10,,,
1520,user1520,12613,1,75,10,4,18,,,
1521,user1521,12621,1,285,10,2,14,,,
1522,user1522,12643,1,201,6,10,38,,,
1523,user1523,12646,1,105,16,2,22,,,
1524,user1524,12647,0,266,2,12,46,,,
1525,user1525,12653,1,323,10,7,46,,,
1526,user1526,12659,0,258,6,2,10,,,
1527,user1527,12660,0,208,6,11,50,,,
1528,user1528,12671,0,351,30,8,60,,,
1529,user1529,12676,1,368,12,11,62,,,
1530,user1530,12687,0,362,12,9,36,,,
1531,user1531,12689,0,310,6,11,68,,,
1532,user1532,12703,1,229,18,9,38,,,
1533,user1533,12707,0,83,14,2,20,,,
1534,user1534,12717,0,218,14,1,14,,,
1535,user1535,12723,1,66,14,2,22,,,
1536,user1536,12726,0,101,10,2,14,,,
1537,user1537,12730,1,193,8,5,36,,,
1538,user1538,12736,0,393,36,12,64,,,
1539,user1539,12748,1,176,30,9,68,,,
1540,user1540,12756,1,317,2,2,4,,,
1541,user1541,12765,1,341,12,11,50,,,
1542,user1542,12770,1,359,2,11,66,,,
1543,user1543,12779,1,302,10,2,12,,,
1544,user1544,12782,1,281,16,6,40,,,
1545,user1545,12795,0,54,16,2,18,,,
1546,user1546,12800,0,335,20,8,56,,,
1547,user1547,12821,1,243,16,2,24,,,
1548,user1548,12822,0,202,8,2,12,,,
1549,user1549,12826,1,225,22,9,70,,,
1550,user1550,12843,1,269,24,1,24,,,
1551,user1551,12859,1,124,10,2,12,,,
1552,user1552,12860,1,267,10,11,40,,,
1553,user1553,12875,1,310,2,1,2,,,
1554,user1554,12881,1,301,12,1,12,,,
1555,user1555,12896,0,184,10,1,10,,,
1556,user1556,12902,1,224,14,7,38,,,
1557,user1557,12904,1,326,14,8,38,,,
1558,user1558,12910,1,154,16,6,44,,,
1559,user1559,12915,1,202,4,1,4,,,
1560,user1560,12923,0,118,8,2,14,,,
1561,user1561,12938,1,311,10,2,16,,,
1562,user1562,12952,0,167,2,1,2,,,
1563,user1563,12956,1,323,12,7,26,,,
1564,user1564,12957,1,123,12,8,52,,,
1565,user1565,12978,0,293,14,2,18,,,
1566,user1566,12982,1,312,10,2,16,,,
1567,user1567,12984,0,178,28,10,84,,,
1568,user1568,12992,1,238,10,1,10,,,
1569,user1569,12995,1,21,2,1,2,,,
1570,user1570,13002,1,222,12,3,24,,,
1571,user1571,13004,0,332,28,5,44,,,
1572,user1572,13011,1,330,16,3,22,,,
1573,user1573,13015,1,209,16,1,16,,,
1574,user1574,13031,0,158,12,1,12,,,
1575,user1575,13032,1,346,32,10,58,,,
1576,user1576,13039,0,166,14,2,16,,,
1577,user1577,13090,1,108,6,5,34,,,
1578,user1578,13094,0,293,22,2,28,,,
1579,user1579,13095,1,422,34,12,90,,,
1580,user1580,13104,0,292,16,5,38,,,
1581,user1581,13113,1,155,20,5,36,,,
1582,user1582,13115,1,126,26,1,26,,,
1583,user1583,13126,1,395,6,12,74,,,
1584,user1584,13130,0,52,20,3,36,,,
1585,user1585,13137,1,129,2,8,46,,,
1586,user1586,13138,1,290,8,2,16,,,
1587,user1587,13157,1,167,8,1,8,,,
1588,user1588,13172,1,34,28,1,28,,,
1589,user1589,13173,1,45,24,1,24,,,
1590,user1590,13191,1,212,8,7,36,,,
1591,user1591,13195,1,232,22,3,34,,,
1592,user1592,13212,1,305,18,3,24,,,
1593,user1593,13215,0,286,10,2,18,,,
1594,user1594,13222,1,328,10,10,58,,,
1595,user1595,13232,1,26,12,1,12,,,
1596,user1596,13233,1,246,2,2,10,,,
1597,user1597,13239,0,116,12,2,18,,,
1598,user1598,13244,0,254,18,1,18,,,
1599,user1599,13262,1,293,16,5,38,,,
1600,user1600,13278,1,230,4,2,12,,,
1601,user1601,13284,1,24,14,1,14,,,
1602,user1602,13292,1,222,28,7,60,,,
1603,user1603,13293,0,374,22,10,80,,,
1604,user1604,13294,0,94,10,1,10,,,
1605,user1605,13295,1,335,34,12,80,,,
1606,user1606,13306,0,147,36,2,42,,,
1607,user1607,13309,1,136,12,5,30,,,
1608,user1608,13323,0,149,10,4,26,,,
1609,user1609,13327,0,161,6,2,10,,,
1610,user1610,13338,1,70,14,1,14,,,
1611,user1611,13341,0,224,2,12,62,,,
1612,user1612,13342,1,373,6,10,54,,,
1613,user1613,13353,1,165,18,11,56,,,
1614,user1614,13355,1,87,8,4,18,,,
1615,user1615,13360,1,277,2,8,34,,,
1616,user1616,13369,1,285,16,5,40,,,
1617,user1617,13378,1,251,4,2,12,,,
1618,user1618,13397,0,100,16,1,16,,,
1619,user1619,13398,0,82,16,2,24,,,
1620,user1620,13416,1,330,12,11,56,,,
1621,user1621,13426,0,86,8,1,8,,,
1622,user1622,13428,0,110,8,2,14,,,
1623,user1623,13466,0,212,4,11,58,,,
1624,user1624,13469,1,175,12,2,16,,,
1625,user1625,13482,0,306,12,3,30,,,
1626,user1626,13485,1,141,16,2,24,,,
1627,user1627,13490,0,249,10,1,10,,,
1628,user1628,13515,1,184,12,10,60,,,
1629,user1629,13541,0,301,4,1,4,,,
1630,user1630,13543,1,282,10,1,10,,,
1631,user1631,13546,0,320,4,12,42,,,
1632,user1632,13547,1,226,8,7,34,,,
1633,user1633,13551,1,167,14,11,48,,,
1634,user1634,13567,0,400,36,11,60,,,
1635,user1635,13568,1,128,10,3,22,,,
1636,user1636,13570,1,106,6,1,6,,,
1637,user1637,13571,1,466,8,12,62,,,
1638,user1638,13573,0,288,12,12,58,,,
1639,user1639,13578,1,183,8,3,16,,,
1640,user1640,13586,0,253,12,7,32,,,
1641,user1641,13587,1,30,14,1,14,,,
1642,user1642,13602,1,177,8,10,32,,,
1643,user1643,13606,1,225,16,12,76,,,
1644,user1644,13611,0,264,10,6,36,,,
1645,user1645,13644,1,192,8,1,8,,,
1646,user1646,13662,1,406,10,10,46,,,
1647,user1647,13666,1,47,14,1,14,,,
1648,user1648,13667,1,101,16,1,16,,,
1649,user1649,13684,1,122,30,1,30,,,
1650,user1650,13688,0,250,14,1,14,,,
1651,user1651,13690,0,311,12,2,16,,,
1652,user1652,13700,1,229,8,2,16,,,
1653,user1653,13704,0,20,26,1,26,,,
1654,user1654,13709,1,100,12,2,14,,,
1655,user1655,13712,0,198,20,9,64,,,
1656,user1656,13716,1,207,8,1,8,,,
1657,user1657,13718,1,255,2,1,2,,,
1658,user1658,13724,1,385,10,12,36,,,
1659,user1659,13728,0,115,12,3,22,,,
1660,user1660,13745,1,42,12,2,16,,,
1661,user1661,13752,0,62,18,2,22,,,
1662,user1662,13755,1,200,12,2,18,,,
1663,user1663,13775,1,294,22,3,38,,,
1664,user1664,13776,1,158,12,2,20,,,
1665,user1665,13777,1,292,24,2,26,,,
1666,user1666,13778,1,269,2,1,2,,,
1667,user1667,13779,0,296,12,1,12,,,
1668,user1668,13780,1,108,8,2,14,,,
1669,user1669,13793,1,226,14,2,22,,,
1670,user1670,13805,1,146,14,6,28,,,
1671,user1671,13823,1,37,6,2,10,,,
1672,user1672,13828,1,278,4,2,12,,,
1673,user1673,13829,1,218,6,1,6,,,
1674,user1674,13842,0,37,10,1,10,,,
1675,user1675,13843,1,224,2,4,24,,,
1676,user1676,13844,0,94,10,5,38,,,
1677,user1677,13850,1,171,30,11,92,,,
1678,user1678,13855,0,244,8,2,14,,,
1679,user1679,13870,1,206,6,2,8,,,
1680,user1680,13878,1,71,8,1,8,,,
1681,user1681,13888,1,223,32,2,36,,,
1682,user1682,13895,0,131,10,6,38,,,
1683,user1683,13896,1,158,14,1,14,,,
1684,user1684,13898,1,167,4,7,26,,,
1685,user1685,13902,1,330,8,7,32,,,
1686,user1686,13906,1,212,6,5,36,,,
1687,user1687,13922,1,97,14,2,16,,,
1688,user1688,13932,1,125,12,8,36,,,
1689,user1689,13936,1,317,4,10,48,,,
1690,user1690,13949,1,209,12,2,18,,,
1691,user1691,13952,1,310,22,11,86,,,
1692,user1692,13966,1,185,30,1,30,,,
1693,user1693,13980,1,259,8,2,12,,,
1694,user1694,13991,1,317,10,2,16,,,
1695,user1695,13996,1,42,10,1,10,,,
1696,user1696,14001,1,94,14,2,22,,,
1697,user1697,14010,1,233,32,1,32,,,
1698,user1698,14025,1,149,26,2,32,,,
1699,user1699,14033,1,134,30,2,38,,,
1700,user1700,14034,1,155,6,10,42,,,
1701,user1701,14036,1,262,8,2,14,,,
1702,user1702,14044,1,233,30,1,30,,,
1703,user1703,14050,1,151,2,7,22,,,
1704,user1704,14052,1,220,8,2,14,,,
1705,user1705,14063,0,256,12,2,18,,,
1706,user1706,14067,0,159,2,6,18,,,
1707,user1707,14083,0,227,18,2,26,,,
1708,user1708,14094,1,168,8,10,48,,,
1709,user1709,14101,1,130,2,2,4,,,
1710,user1710,14116,1,273,14,4,28,,,
1711,user1711,14141,0,207,10,5,22,,,
1712,user1712,14148,0,218,2,2,4,,,
1713,user1713,14161,0,202,2,2,6,,,
1714,user1714,14163,1,148,14,2,18,,,
1715,user1715,14179,1,275,32,4,40,,,
1716,user1716,14185,1,96,10,4,24,,,
1717,user1717,14193,1,95,6,1,6,,,
1718,user1718,14195,1,217,18,10,74,,,
1719,user1719,14199,1,281,14,1,14,,,
1720,user1720,14201,1,233,10,9,52,,,
1721,user1721,14202,1,320,12,11,40,,,
1722,user1722,14211,1,223,18,1,18,,,
1723,user1723,14213,0,342,16,5,36,,,
1724,user1724,14230,1,170,18,1,18,,,
1725,user1725,14236,0,110,10,1,10,,,
1726,user1726,14240,1,91,16,2,18,,,
1727,user1727,14247,0,314,2,2,10,,,
1728,user1728,14258,0,63,14,2,20,,,
1729,user1729,14259,0,253,2,2,10,,,
1730,user1730,14262,1,337,10,12,46,,,
1731,user1731,14272,1,161,6,1,6,,,
1732,user1732,14276,1,308,36,6,50,,,
1733,user1733,14287,1,257,8,8,26,,,
1734,user1734,14295,1,120,10,1,10,,,
1735,user1735,14297,1,269,26,8,52,,,
1736,user1736,14302,1,257,20,4,32,,,
1737,user1737,14304,1,293,12,8,30,,,
1738,user1738,14309,0,323,12,5,32,,,
1739,user1739,14324,0,423,10,10,66,,,
1740,user1740,14340,1,130,12,1,12,,,
1741,user1741,14349,1,185,30,1,30,,,
1742,user1742,14351,1,105,10,1,10,,,
1743,user1743,14352,1,277,12,6,44,,,
1744,user1744,14374,0,227,16,11,52,,,
1745,user1745,14380,1,282,4,1,4,,,
1746,user1746,14395,1,237,4,11,42,,,
1747,user1747,14396,1,211,10,12,62,,,
1748,user1748,14404,1,57,16,2,22,,,
1749,user1749,14405,1,183,12,9,64,,,
1750,user1750,14411,0,257,14,2,22,,,
1751,user1751,14415,1,123,12,7,26,,,
1752,user1752,14431,1,312,30,2,38,,,
1753,user1753,14432,0,258,16,2,24,,,
1754,user1754,14448,1,123,16,2,20,,,
1755,user1755,14454,1,92,30,1,30,,,
1756,user1756,14459,1,206,8,1,8,,,
1757,user1757,14467,1,328,12,10,36,,,
1758,user1758,14491,0,416,10,10,34,,,
1759,user1759,14495,0,346,28,11,88,,,
1760,user1760,14517,1,420,12,10,60,,,
1761,user1761,14520,1,276,8,1,8,,,
1762,user1762,14524,1,246,8,2,14,,,
1763,user1763,14531,1,278,34,3,44,,,
1764,user1764,14547,0,358,10,10,36,,,
1765,user1765,14557,1,186,10,2,16,,,
1766,user1766,14568,0,270,16,1,16,,,
1767,user1767,14571,1,140,24,3,30,,,
1768,user1768,14577,1,217,8,1,8,,,
1769,user1769,14578,1,338,10,12,54,,,
1770,user1770,14582,0,160,16,2,24,,,
1771,user1771,14590,1,45,30,2,34,,,
1772,user1772,14592,1,140,4,8,44,,,
1773,user1773,14597,1,284,32,9,68,,,
1774,user1774,14607,1,100,10,1,10,,,
1775,user1775,14618,1,356,8,6,44,,,
1776,user1776,14630,0,141,12,2,20,,,
1777,user1777,14631,1,81,2,5,16,,,
1778,user1778,14636,1,246,10,4,28,,,
1779,user1779,14652,1,183,8,6,42,,,
1780,user1780,14668,1,205,8,2,10,,,
1781,user1781,14680,0,264,28,1,28,,,
1782,user1782,14684,1,63,2,2,8,,,
1783,user1783,14696,1,312,8,7,30,,,
1784,user1784,14705,1,307,4,3,18,,,
1785,user1785,14728,0,256,32,2,40,,,
1786,user1786,14731,0,192,12,4,22,,,
1787,user1787,14734,1,250,4,3,12,,,
1788,user1788,14763,0,31,2,1,2,,,
1789,user1789,14780,1,173,16,2,20,,,
1790,user1790,14791,1,241,10,1,10,,,
1791,user1791,14792,1,185,8,2,14,,,
1792,user1792,14810,1,274,8,9,32,,,
1793,user1793,14815,0,74,12,2,18,,,
1794,user1794,14816,1,49,6,2,12,,,
1795,user1795,14823,1,239,4,10,32,,,
1796,user1796,14830,1,372,12,7,48,,,
1797,user1797,14835,0,120,16,1,16,,,
1798,user1798,14836,1,28,16,1,16,,,
1799,user1799,14837,1,135,18,2,22,,,
1800,user1800,14838,1,170,14,2,16,,,
1801,user1801,14845,1,235,8,1,8,,,
1802,user1802,14859,0,254,14,2,20,,,
1803,user1803,14864,0,281,16,2,22,,,
1804,user1804,14867,1,162,36,6,66,,,
1805,user1805,14869,0,371,14,5,38,,,
1806,user1806,14903,1,236,16,3,34,,,
1807,user1807,14919,1,203,28,12,62,,,
1808,user1808,14922,1,369,12,8,52,,,
1809,user1809,14929,0,193,22,2,24,,,
1810,user1810,14935,0,242,22,8,44,,,
1811,user1811,14938,1,126,10,1,10,,,
1812,user1812,14945,1,150,22,5,34,,,
1813,user1813,14948,0,308,26,2,34,,,
1814,user1814,14965,1,324,32,7,58,,,
1815,user1815,14967,0,24,12,1,12,,,
1816,user1816,14978,1,267,6,1,6,,,
1817,user1817,14981,1,75,16,1,16,,,
1818,user1818,14982,1,265,28,8,56,,,
1819,user1819,14983,1,49,28,1,28,,,
1820,user1820,14995,1,131,2,1,2,,,
1821,user1821,15001,0,324,16,10,44,,,
1822,user1822,15014,1,214,14,8,50,,,
1823,user1823,15024,1,311,20,2,24,,,
1824,user1824,15025,1,233,8,2,10,,,
1825,user1825,15044,1,325,16,2,20,,,
1826,user1826,15052,1,458,14,11,54,,,
1827,user1827,15059,1,250,16,1,16,,,
1828,user1828,15063,0,155,28,1,28,,,
1829,user1829,15072,1,174,14,7,34,,,
1830,user1830,15091,1,165,34,7,64,,,
1831,user1831,15115,1,263,24,9,42,,,
1832,user1832,15119,1,188,16,2,18,,,
1833,user1833,15123,1,185,6,2,8,,,
1834,user1834,15126,1,195,10,2,14,,,
1835,user1835,15127,0,187,32,11,88,,,
1836,user1836,15148,1,261,6,2,10,,,
1837,user1837,15150,1,156,14,8,50,,,
1838,user1838,15155,1,114,6,1,6,,,
1839,user1839,15158,1,322,30,2,36,,,
1840,user1840,15164,0,69,16,2,20,,,
1841,user1841,15170,0,61,10,1,10,,,
1842,user1842,15173,0,137,8,1,8,,,
1843,user1843,15184,1,262,10,2,12,,,
1844,user1844,15186,1,93,10,4,18,,,
1845,user1845,15195,1,156,12,2,20,,,
1846,user1846,15200,1,274,12,12,76,,,
1847,user1847,15204,1,326,26,5,48,,,
1848,user1848,15211,0,328,24,3,40,,,
1849,user1849,15218,1,190,34,7,48,,,
1850,user1850,15221,0,175,16,1,16,,,
1851,user1851,15227,1,155,6,2,8,,,
1852,user1852,15243,1,197,12,2,16,,,
1853,user1853,15273,1,122,14,2,20,,,
1854,user1854,15277,0,313,10,1,10,,,
1855,user1855,15293,1,90,6,2,12,,,
1856,user1856,15296,1,216,14,1,14,,,
1857,user1857,15307,0,112,8,2,16,,,
1858,user1858,15336,0,243,6,2,14,,,
1859,user1859,15337,1,174,10,2,12,,,
1860,user1860,15351,0,234,6,2,14,,,
1861,user1861,15355,0,174,4,7,32,,,
1862,user1862,15365,1,166,10,10,58,,,
1863,user1863,15376,1,185,20,4,38,,,
1864,user1864,15378,1,357,4,8,28,,,
1865,user1865,15391,0,118,10,2,16,,,
1866,user1866,15393,1,188,10,1,10,,,
1867,user1867,15395,1,157,16,1,16,,,
1868,user1868,15398,1,362,16,11,48,,,
1869,user1869,15416,1,219,10,2,14,,,
1870,user1870,15429,0,277,12,2,14,,,
1871,user1871,15432,0,190,26,2,28,,,
1872,user1872,15439,1,291,16,8,52,,,
1873,user1873,15468,1,155,2,10,24,,,
1874,user1874,15474,1,197,32,2,36,,,
1875,user1875,15482,1,102,8,2,10,,,
1876,user1876,15485,1,207,10,1,10,,,
1877,user1877,15490,1,380,22,6,54,,,
1878,user1878,15501,1,183,14,1,14,,,
1879,user1879,15514,0,302,30,7,52,,,
1880,user1880,15523,1,232,6,11,44,,,
1881,user1881,15535,0,301,14,11,46,,,
1882,user1882,15536,1,270,16,5,40,,,
1883,user1883,15544,1,152,2,1,2,,,
1884,user1884,15562,0,189,14,4,34,,,
1885,user1885,15563,1,242,10,2,14,,,
1886,user1886,15581,1,410,10,9,60,,,
1887,user1887,15582,0,261,16,2,22,,,
1888,user1888,15593,1,151,6,4,24,,,
1889,user1889,15625,1,36,6,2,12,,,
1890,user1890,15633,0,125,4,7,20,,,
1891,user1891,15640,1,163,6,2,14,,,
1892,user1892,15659,1,323,26,2,34,,,
1893,user1893,15687,0,101,14,1,14,,,
1894,user1894,15693,1,64,14,2,16,,,
1895,user1895,15694,1,169,12,11,36,,,
1896,user1896,15699,0,107,4,2,10,,,
1897,user1897,15700,1,155,4,9,44,,,
1898,user1898,15711,1,327,14,7,52,,,
1899,user1899,15723,1,183,12,2,16,,,
1900,user1900,15724,1,230,16,1,16,,,
